"ID","Site","Layer","Fire","Cortex","Class","Blank","Blank.technology","Technology","Preservation","Length","Width","Thickness","Robustness","Elongation","Platform.width","Platform.thickness","Platform_ratio","Platform.type","Platform.shape","Bulb","Bulbar.scars","Bulb.type","Lip","Lip.type","Curvature","Torsion","Torsion.simplified","Section","Blank.shape","Scar.pattern","Scar.pattern.2","Distal.end","Plunging","Bladelet.negatives","Typology","Typology.new","Retouch.position","Dorsal.retouch.localization","Ventral.retouch.localization","left_right","Volume","Area","raw.material.type","raw.material.source","raw.material.lumped","raw.material.provenience","X3D","Scanner"
"RB_781","RB","A1",FALSE,"33-66%","Blank","Bladelet","Semi-cortical","Semi-cortical","Complete",13.5,4.69999980926514,2.70000004768372,1.74074063935561,2.87234054209691,1.29999995231628,1,1.29999995231628,"Plain","Oval",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","0","no","Rectangular","Sub-parallel","Unidirectional","Unidirectional parallel","Straight",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_782","RB","A1",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",10.8000001907349,3.5,1,3.5,3.08571434020997,1.39999997615814,0.5,2.79999995231628,"Plain","Punctiform",FALSE,FALSE,"Absent",TRUE,"Pronounced","Curved","0","no","Triangular","Convergent","Unidirectional convergent","Unidirectional convergent","Pointed",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Very-distant.France","Very.distant","France","no",NA
"RB_783","RB","A1",FALSE,"0%","Blank","Bladelet","Neo-crest","Maintenance","Complete",24.1000003814697,10.8999996185303,5.19999980926514,2.09615384968075,2.21100928668833,1.20000004768372,0.899999976158142,1.33333342163652,"Plain","Triangular",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","0","no","Lateral steep","Irregular","Unidirectional parallel + crossed","Other","Straight",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Distant.France","Distant","France","no",NA
"RB_784","RB","A1",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",13.6999998092651,5.30000019073486,1.10000002384186,4.81818188714586,2.58490553136481,0.899999976158142,0.400000005960464,2.24999990686775,"Plain","Oval",FALSE,FALSE,"Absent",TRUE,"Pronounced","Curved","0","no","Triangular","Convergent","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","not.available","not.available","not.available","no",NA
"RB_785","RB","A1",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",23,10.1999998092651,2.29999995231628,4.43478261770958,2.25490200294985,2.20000004768372,0.699999988079071,3.14285726449928,"Plain","Oval",FALSE,FALSE,"Absent",TRUE,"Pronounced","Curved","0","no","Trapezoidal","Convergent","Unidirectional convergent","Unidirectional convergent","Pointed",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_786","RB","A1",FALSE,"0%","Blank","Bladelet","Lateral","Maintenance","Complete",18.2000007629395,9,2.20000004768372,4.09090900224102,2.02222230699328,3,0.800000011920929,3.74999994412065,"Plain","Rectangular",FALSE,FALSE,"Absent",TRUE,"Moderate","Curved","1R","yes","Polyhedral","Comma-like","Unidirectional convergent","Unidirectional convergent","Straight",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Very-distant.France","Very.distant","France","no",NA
"RB_787","RB","A1",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",14.1000003814697,5.40000009536743,1.10000002384186,4.90909088938688,2.61111113563977,2,0.200000002980232,9.9999998509884,"Linear","Linear",FALSE,FALSE,"Absent",TRUE,"Moderate","Curved slightly","0","no","Polyhedral","Convergent","Unidirectional convergent","Unidirectional convergent","Pointed",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Very-distant.France","Very.distant","France","no",NA
"RB_788","RB","A1",FALSE,"1-33%","Blank","Bladelet","Semi-cortical","Semi-cortical","Complete",18.8999996185303,6.30000019073486,4.09999990463257,1.53658544811587,2.99999984862313,2.5,2.59999990463257,0.961538496807483,"Plain","Rectangular",FALSE,FALSE,"Absent",FALSE,"Absent","Straight","0","no","Lateral steep","Sub-parallel","Crossed","Other","Straight",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_789","RB","A1",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",17.2000007629395,5.80000019073486,3,1.93333339691162,2.96551727539862,1.70000004768372,0.899999976158142,1.88888899190927,"Plain","Triangular",FALSE,FALSE,"Absent",TRUE,"Moderate","Curved slightly","0","no","Lateral steep","Convergent","Bidirectional","Bidirectional","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Distant.France","Distant","France","no",NA
"RB_790","RB","A1",FALSE,"1-33%","Blank","Bladelet","Spall","Maintenance","Complete",23.7000007629395,6.5,4.19999980926514,1.54761911790117,3.64615396352915,3,2,1.5,"Plain","Rectangular",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","0","no","Rectangular","Sub-parallel","Bidirectional","Bidirectional","Straight",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Circum-local.France","Circum.local","France","no",NA
"RB_791","RB","A1",FALSE,"1-33%","Blank","Flake","Maintenance","Maintenance","Complete",20.2999992370605,14.6999998092651,3.59999990463257,4.08333338852281,1.38095234696982,3,1.10000002384186,2.72727266816068,"Plain","Oval",TRUE,FALSE,"Moderate",FALSE,"Absent","Straight","0","no","Trapezoidal","Oval","Bidirectional","Bidirectional","Convex",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Circum-local.France","Circum.local","France","no",NA
"RB_792","RB","A2",FALSE,"0%","Blank","Flake","Laminar","Optimal","Complete",20.7999992370605,11.1000003814697,2.5,4.44000015258788,1.87387374074184,0.5,0.300000011920929,1.66666660043929,"Plain","Oval",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","0","no","Trapezoidal","Oval","Unidirectional convergent","Unidirectional convergent","Irregular",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Distant.France","Distant","France","no",NA
"RB_793","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",15.8000001907349,4.69999980926514,1.70000004768372,2.76470569260805,3.36170230466568,0.699999988079071,0.300000011920929,2.33333320087857,"Plain","Oval",FALSE,FALSE,"Absent",TRUE,"Moderate","Curved slightly","0","no","Trapezoidal","Sub-parallel","Unidirectional convergent","Unidirectional convergent","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Very-distant.France","Very.distant","France","no",NA
"RB_794","RB","A2",FALSE,"0%","Blank","Flake","Maintenance carinated","Maintenance","Complete",11.8000001907349,10.6999998092651,1.70000004768372,6.29411735831657,1.10280377580169,0.300000011920929,0.200000002980232,1.5000000372529,"Punctiform","Punctiform",TRUE,FALSE,"Moderate",FALSE,"Absent","Curved","0","no","Polyhedral","Oval","Unidirectional convergent","Unidirectional convergent","Convex",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Very-distant.France","Very.distant","France","no",NA
"RB_795","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",12,4.90000009536743,1.39999997615814,3.50000012772424,2.44897954417288,1.60000002384186,1,1.60000002384186,"Plain","Oval",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","0","no","Trapezoidal","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Circum-local.France","Circum.local","France","no",NA
"RB_796","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",23.2000007629395,11.1999998092651,3.59999990463257,3.11111114054549,2.0714286748244,1.29999995231628,0.600000023841858,2.16666650109821,"Plain","Oval",TRUE,FALSE,"Moderate",TRUE,"Moderate","Straight","2L","yes","Triangular","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Straight",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_797","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",26.7999992370605,9.69999980926514,2,4.84999990463257,2.7628865736123,3.09999990463257,0.699999988079071,4.42857136775036,"Plain","Rectangular",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","0","no","Trapezoidal","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Circum-local.France","Circum.local","France","no",NA
"RB_798","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",19.3999996185303,7.5,2,3.75,2.58666661580404,1.79999995231628,0.100000001490116,17.9999992549419,"Linear","Linear",FALSE,FALSE,"Absent",TRUE,"Moderate","Curved intense","2L","yes","Triangular","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Irregular",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_799","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",11.6999998092651,4.30000019073486,1.20000004768372,3.58333334989016,2.72093006750904,0.100000001490116,0.100000001490116,1,"Punctiform","Punctiform",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","1L","yes","Triangular","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
"RB_800","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",10.6000003814697,4,0.899999976158142,4.44444456218202,2.65000009536742,1.29999995231628,0.100000001490116,12.9999993294477,"Linear","Linear",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","0","no","Trapezoidal","Sub-parallel","Unidirectional convergent","Unidirectional convergent","Pointed",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Very-distant.France","Very.distant","France","no",NA
"RB_801","RB","A2",TRUE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",29.2999992370605,9.69999980926514,3,3.23333326975505,3.02061853744307,3,1.60000002384186,1.87499997206032,"Plain","Triangular",FALSE,FALSE,"Absent",TRUE,"Moderate","Straight","0","no","Triangular","Convergent","Unidirectional convergent","Unidirectional convergent","Pointed",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Magmatic rock","Circum-local.France","Circum.local","France","no",NA
"RB_802","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",34.5,10.1999998092651,3.29999995231628,3.09090907777307,3.38235300442478,1.79999995231628,0.699999988079071,2.57142854710014,"Plain","Oval",TRUE,FALSE,"Moderate",TRUE,"Moderate","Curved intense","0","no","Trapezoidal","Sub-parallel","Unidirectional convergent","Unidirectional convergent","Pointed",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Distant.France","Distant","France","no",NA
"RB_803","RB","A2",FALSE,"0%","Blank","Bladelet","Optimal production","Optimal","Complete",24,9.19999980926514,1.5,6.13333320617676,2.60869570625752,1.70000004768372,0.699999988079071,2.42857153804936,"Plain","Rectangular",TRUE,FALSE,"Moderate",TRUE,"Moderate","Curved","0","no","Flat","Convergent","Unidirectional parallel","Unidirectional parallel","Pointed",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Distant.France","Distant","France","no",NA
"RB_804","RB","A2",FALSE,"0%","Blank","Bladelet","Lateral","Maintenance","Complete",19.5,8,2.70000004768372,2.96296291063515,2.4375,1.5,0.200000002980232,7.4999998882413,"Linear","Linear",FALSE,FALSE,"Absent",TRUE,"Moderate","Curved intense","0","no","Polyhedral","Comma-like","Unidirectional convergent","Unidirectional convergent","Pointed",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Very-distant.Italy","Very.distant","Italy","no",NA
"RB_805","RB","A2",FALSE,"1-33%","Blank","Blade","Semi-cortical","Semi-cortical","Complete",43.4000015258789,15,5,3,2.89333343505859,4.80000019073486,1.5,3.20000012715657,"Plain","Rectangular",TRUE,FALSE,"Moderate",TRUE,"Moderate","Straight","1L","yes","Trapezoidal","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Straight",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Distant.France","Distant","France","no",NA
"RB_806","RB","A2",TRUE,"0%","Blank","Bladelet","Debordant","Maintenance","Complete",22.7000007629395,9.80000019073486,2.79999995231628,3.50000012772424,2.31632656338115,1.70000004768372,1,1.70000004768372,"Plain","Triangular",TRUE,FALSE,"Moderate",TRUE,"Moderate","Curved slightly","0","no","Trapezoidal","Sub-parallel","Unidirectional parallel","Unidirectional parallel","Convex",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Undetermined","Undetermined","Undetermined","Undetermined","no",NA
"RB_807","RB","A2",FALSE,"0%","Blank","Flake","Maintenance","Maintenance","Complete",21.1000003814697,11.1000003814697,2.29999995231628,4.82608722243282,1.90090086993997,2.09999990463257,0.100000001490116,20.9999987334014,"Linear","Linear",TRUE,FALSE,"Moderate",TRUE,"Moderate","Curved intense","1R","yes","Trapezoidal","Convergent","Unidirectional convergent","Unidirectional convergent","Convex",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Chert","Local","Local","Local","no",NA
