ID,Site,Layer,Core.type,Core.classification,Core.classification.2,Laminar,Carinated,Core.blank,Platform.number,Surfaces.number,Blank.production,Bipolar.core,Striking.platform,Second.striking.platform,Flaking.surface,Reduction.pattern,Length,Width,Thickness,Flaking.surface.length,Flaking.surface.width,Second.flaking.surface.length,Second.flaking.surface.width,Last.removal.blank,Last.removal.length,Last.removal.width,Cortex,Cortex.position.core,Flaking.surface.profile,Second.flaking.surface.profile,Ratio_fsl_thickness,Ratio_l_t,Ratio_fsl_width,Ratio_l_w,Ratio_w_t,Volume,Area,raw.material.source,raw.material.type,raw.material.lumped,raw.material.provenience,scars.platform,scars.flaking.surface,scars.total,SDI,logSDI,X3D,Scanner
RB_1079,RB,A1,Platform laminar,Narrow-sided,Narrow-sided,yes,no,Block,1,1,Undetermined,FALSE,Plain,NA,Unidirectional,Sub-parallel,24.39999962,18.10000038,28,21.4,15,NA,NA,Bladelet,15.1,5.8,1-33%,Lateral right,Slightly-Convex,NA,0.764285714,0.871428558,1.182320417,1.348066249,0.646428585,4431.58,1700.23,Local,Chert,Local,Local,1,10,11,0.006469713,-2.18911499,yes,Artec.Spider
RB_1086,RB,A1,Platform flake,Platform flake,Wide-faced flat,no,no,Flake,1,1,Flake,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,20.60000038,14.80000019,9.100000381,16.5,14.80000019,NA,NA,Flake,NA,NA,33-66%,Back,Straight,NA,1.813186737,2.263736211,1.11486485,1.3918919,1.626373579,1084.336548,684.7452309,Local,Chert,Local,Local,2,7,9,0.013143575,-1.881286507,yes,Artec.Spider
RB_1145,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Block,3,3,Flake,FALSE,Reshaped,Plain,NA,NA,36.29999924,39.20000076,37.79999924,NA,NA,NA,NA,Flake,NA,NA,0%,NA,NA,NA,NA,0.96031746,NA,0.926020371,1.037037078,23191.93164,5021.844905,Local,Chert,Local,Local,0,11,11,0.00219043,-2.659470611,yes,Artec.Spider
RB_1146,RB,A2,Platform flake,Platform flake,Semi-circumferential,no,no,Block,1,1,Flake,FALSE,Plain,NA,Unidirectional,Sub-parallel,23,27.10000038,24.10000038,NA,NA,NA,NA,Flake,NA,NA,1-33%,Back,NA,NA,NA,0.954356831,NA,0.848708475,1.124481326,6020.734375,2130.822443,Local,Chert,Local,Local,1,4,5,0.002346512,-2.629577258,yes,Artec.Spider
RB_1147,RB,A2,Platform flake,Platform flake,Semi-circumferential,no,no,Flake,2-opposed,2,Flake,FALSE,Plain,NA,Unidirectional,Sub-parallel,21.39999962,38.59999847,47.70000076,NA,NA,NA,NA,Flake,NA,NA,0%,NA,NA,NA,NA,0.448637301,NA,0.554404157,0.809224274,17020.86328,4389.060032,Local,Chert,Local,Local,3,8,11,0.002506231,-2.600978836,yes,Artec.Spider
RB_1148,RB,A2,Platform laminar,Narrow-sided,Narrow-sided,yes,no,Flake,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,42.20000076,16.20000076,26.79999924,36.5,10.30000019,NA,NA,Bladelet,25.6,6,1-33%,Base,Straight,NA,1.361940337,1.574626939,2.253086314,2.604938196,0.604477658,8385.614258,2719.984056,Local,Chert,Local,Local,2,18,20,0.007352984,-2.133536363,yes,Artec.Spider
RB_1149,RB,A2,Parallel,Multidirectional,Multidirectional,no,no,Flake,1,1,Flake,FALSE,Faceted,NA,NA,NA,57.09999847,32.70000076,20,NA,NA,NA,NA,Flake,NA,NA,0%,NA,NA,NA,NA,2.854999924,NA,1.746177283,1.635000038,13111.2373,3902.46089,Local,Chert,Local,Local,0,11,11,0.002818734,-2.549945874,yes,Artec.Spider
RB_1150,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Flake,3,3,Bladelet-Flake,FALSE,Reshaped,NA,NA,NA,36.40000153,26.70000076,23,NA,NA,NA,NA,Flake,NA,NA,0%,NA,NA,NA,NA,1.582608762,NA,1.363295898,1.160869598,8839.828125,2785.049959,Local,Chert,Local,Local,0,21,21,0.00754026,-2.122613695,yes,Artec.Spider
RB_1151,RB,A2,Tested,Tested,Tested,no,no,Flake,1,1,Flake,FALSE,NA,NA,NA,NA,60,66.19999695,27.5,NA,NA,NA,NA,NA,NA,NA,33-66%,Base;Flaking surface,NA,NA,NA,2.181818182,NA,0.906344453,2.407272616,52072.61328,9842.397966,Local,Chert,Local,Local,0,2,2,0.000203203,-3.692070926,yes,Artec.Spider
RB_1152,RB,A2,Tested,Tested,Tested,no,no,Block,1,1,Undetermined,FALSE,NA,NA,NA,NA,38,24,19,NA,NA,NA,NA,NA,NA,NA,1-33%,Base,NA,NA,NA,2,NA,1.583333333,1.263157895,6907.495605,2457.686571,Local,Chert,Local,Local,0,6,6,0.00244132,-2.612375246,yes,Artec.Spider
