ID,Site,Layer,Core.type,Core.classification,Core.classification.2,Laminar,Carinated,Core.blank,Platform.number,Surfaces.number,Blank.production,Bipolar.core,Striking.platform,Second.striking.platform,Flaking.surface,Reduction.pattern,Length,Width,Thickness,Flaking.surface.length,Flaking.surface.width,Second.flaking.surface.length,Second.flaking.surface.width,Last.removal.blank,Last.removal.length,Last.removal.width,Cortex,Cortex.position.core,Flaking.surface.profile,Second.flaking.surface.profile,Ratio_fsl_thickness,Ratio_l_t,Ratio_fsl_width,Ratio_l_w,Ratio_w_t,Volume,Area,raw.material.source,raw.material.type,raw.material.lumped,raw.material.provenience,scars.platform,scars.flaking.surface,scars.total,SDI,logSDI,X3D,Scanner
RB_579,RB,A2,Carinated,Carinated,Carinated endscraper,yes,yes,Flake,1,1,Bladelet-Flake,FALSE,Reshaped,NA,Unidirectional,Convergent,32.70000076,44.20000076,59.90000153,24.79999924,39.40000153,NA,NA,Flakelet,12.5,8,33-66%,Back,NA,NA,0.414023349,0.545909849,0.561085946,0.739819009,0.737896488,25863.13477,5652.51691,Very-distant.Italy,Chert,Very.distant,Italy,3,11,14,0.002476773,-2.606113835,yes,Artec.Spider
RB_580,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Block,2-opposed,2,Flake,FALSE,NA,NA,NA,NA,51.90000153,37.20000076,25.70000076,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,2.019455252,NA,1.395161303,1.447470804,17549.87695,4207.537303,Local,Chert,Local,Local,0,22,22,0.005228712,-2.281605294,yes,Artec.Spider
RB_581,RB,A2,Initial,Initial laminar,Wide-faced flat,yes,no,Nodule,1,1,Bladelet-Flake,FALSE,NA,NA,Unidirectional,Convergent,43.09999847,34,26,19.7,29.4,NA,NA,Bladelet,14.8,7.1,66-99%,Back;Base;Flaking surface,NA,NA,0.757692308,1.657692249,0.579411765,1.267647014,1.307692308,14257.42578,3654.970194,Local,Chert,Local,Local,1,6,7,0.0019152,-2.7177858,yes,Artec.Spider
RB_582,RB,A2,Carinated,Carinated,Carinated endscraper,yes,yes,Flake,1,1,Bladelet-Flake,FALSE,Plain,NA,Unidirectional,Convergent,22.8,23.3,41.6,16.4,22.1,NA,NA,Bladelet,14.5,6,0%,NA,NA,NA,0.394230769,0.548076923,0.703862661,0.978540773,0.560096154,8683.68457,2551.233426,Distant.France,Chert,Distant,France,2,11,13,0.005095575,-2.292806844,yes,Artec.Spider
RB_583,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Pebble,1,1,Flake,FALSE,Cortical,NA,Centripetal,NA,37.09999847,36.90000153,19.79999924,NA,NA,NA,NA,Flake,10.8,12,33-66%,Back,NA,NA,NA,1.873737369,NA,1.005419971,1.863636513,11495.57617,3031.356489,Local,Chert,Local,Local,2,3,5,0.001649427,-2.782667008,yes,Artec.Spider
RB_584,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Angular debris,2-opposed,3,Flake,FALSE,Plain,Plain,NA,NA,42.90000153,34.90000153,19.60000038,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,2.188775545,NA,1.229226351,1.780612288,7682.316406,2570.902603,Local,Chert,Local,Local,0,16,16,0.006223495,-2.205965641,yes,Artec.Spider
RB_585,RB,A2,Platform laminar,Semi-circumferential,Semi-circumferential,yes,no,Undetermined,1,1,Bladelet-Flake,FALSE,Plain,NA,Unidirectional,Sub-parallel,33,22.79999924,19.79999924,28.60000038,22.79999924,NA,NA,Bladelet,25.1,6.3,0%,NA,NA,NA,1.444444519,1.666666731,1.254386024,1.447368469,1.151515157,4665.671875,1791.572802,Circum-local.France,Chert,Circum.local,France,1,8,9,0.005023519,-2.298991951,yes,Artec.Spider
RB_586,RB,A2,Shatter laminar,Shatter laminar,Semi-circumferential,yes,no,Undetermined,1,1,Bladelet,FALSE,Undetermined,NA,Unidirectional,Sub-parallel,20,19.89999962,14.30000019,20.10000038,20,NA,NA,Undetermined,NA,NA,0%,NA,NA,NA,1.405594414,1.39860138,1.01005029,1.005025145,1.391608346,1982.296997,995.4097577,Local,Chert,Local,Local,2,10,12,0.012055337,-1.918820648,yes,Artec.Spider
RB_587,RB,A2,Platform flake,Platform flake,Semi-circumferential,no,no,Block,1,1,Flake,FALSE,Plain,NA,Unidirectional,Sub-parallel,26.5,32.40000153,30.79999924,27,36.20000076,NA,NA,Flake,17.4,12.8,1-33%,Back,Straight,NA,0.876623398,0.860389632,0.833333294,0.817901196,1.051948128,14571.57324,3549.737054,Distant.France,Chert,Distant,France,7,13,20,0.00563422,-2.249166188,yes,Artec.Spider
RB_588,RB,A2,Platform laminar,Narrow-sided,Narrow-sided,yes,no,Slab,1,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,30.70000076,13.5,26.79999924,28.60000038,13,NA,NA,Bladelet,24.7,5.6,1-33%,Back,Convex,NA,1.067164224,1.145522449,2.118518547,2.274074131,0.503731358,6023.888672,2040.930464,Distant.France,Chert,Distant,France,1,14,15,0.007349589,-2.133736949,yes,Artec.Spider
RB_589,RB,A2,Shatter laminar,Shatter laminar,Narrow-sided,yes,no,Nodule,1,1,Bladelet-Flake,FALSE,Plain,NA,Unidirectional,Sub-parallel,26.60000038,17.79999924,17.39999962,25.5,17.79999924,NA,NA,Undetermined,NA,NA,1-33%,Back,NA,NA,1.465517274,1.528735688,1.432584331,1.494382108,1.022988484,3386.852295,1406.449337,Local,Chert,Local,Local,1,7,8,0.005688083,-2.245034106,yes,Artec.Spider
RB_590,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Undetermined,2-opposed,2,Flake,FALSE,NA,NA,NA,NA,22.20000076,17.29999924,15.39999962,NA,NA,NA,NA,NA,NA,NA,1-33%,Base,NA,NA,NA,1.441558527,NA,1.283237095,1.123376602,2034.804077,1003.957981,Distant.France,Chert,Distant,France,0,13,13,0.012948749,-1.887772184,yes,Artec.Spider
RB_591,RB,A2,Platform laminar,Semi-circumferential,Semi-circumferential,yes,no,Undetermined,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,19.79999924,24.70000076,25.29999924,19.89999962,23.5,NA,NA,Bladelet,11.2,5.3,0%,NA,Slightly-Convex,NA,0.786561273,0.782608689,0.805667976,0.801619378,0.976284645,5431.98584,1807.130769,Distant.France,Chert,Distant,France,1,16,17,0.009407178,-2.026540659,yes,Artec.Spider
RB_592,RB,A2,Platform laminar,Multi-platform,Multi-platform;Semi-circumferential,yes,no,Flake,2-unrelated,2,Bladelet,FALSE,Reshaped,Reshaped,Unidirectional,Convergent,20.20000076,19,25.5,23.29999924,21.60000038,18.39999962,20,Bladelet,17.6,4.8,0%,NA,NA,NA,0.91372546,0.792156893,1.226315749,1.063157935,0.745098039,4968.677246,1685.260376,Circum-local.France,Chert,Circum.local,France,2,15,17,0.010087462,-1.996218088,yes,Artec.Spider
RB_593,RB,A2,Platform laminar,Semi-circumferential,Semi-circumferential,yes,no,Undetermined,1,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,36.40000153,12.19999981,10,36.5,13.60000038,NA,NA,Bladelet,19.1,5.5,33-66%,Back,NA,NA,3.65,3.640000153,2.991803325,2.983606729,1.219999981,2793.793701,1348.859705,Very-distant.Italy,Chert,Very.distant,Italy,3,13,16,0.011861871,-1.925846798,yes,Artec.Spider
RB_594,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Flake,2-opposed,2,Flake,FALSE,Natural/Unprepared,NA,NA,NA,52.59999847,33,18,NA,NA,NA,NA,NA,NA,NA,33-66%,Back,NA,NA,NA,2.922222137,NA,1.593939348,1.833333333,15621.30371,4833.368085,Local,Chert,Local,Local,3,3,6,0.00124137,-2.90609862,yes,Artec.Spider
RB_595,RB,A2,Shatter,Shatter,Platform flake,no,no,Block,1,1,Flake,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,31.20000076,27.39999962,18.29999924,NA,NA,NA,NA,NA,NA,NA,1-33%,Base,NA,NA,NA,1.704918146,NA,1.138686175,1.497267801,8445.05957,2570.475957,Very-distant.Italy,Chert,Very.distant,Italy,0,12,12,0.004668396,-2.3308323,yes,Artec.Spider
RB_596,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Undetermined,3,3,Flake,FALSE,NA,NA,NA,NA,20.79999924,19.20000076,15,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,1.386666616,NA,1.083333251,1.280000051,3313.286865,1372.930439,Distant.France,Chert,Distant,France,0,19,19,0.013839011,-1.858894933,yes,Artec.Spider
RB_597,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Flake,2-opposed,2,Flake,FALSE,NA,NA,NA,NA,30.79999924,21.10000038,13,NA,NA,NA,NA,NA,NA,NA,0%,NA,NA,NA,NA,2.369230711,NA,1.459715577,1.623076952,3941.932861,1685.02946,Local,Chert,Local,Local,0,10,10,0.005934614,-2.226607498,yes,Artec.Spider
RB_598,RB,A2,Multidirectional,Multidirectional,Multidirectional,no,no,Undetermined,2-opposed,2,Flake,FALSE,NA,NA,NA,NA,35.90000153,16.60000038,11.5,NA,NA,NA,NA,NA,NA,NA,33-66%,Back,NA,NA,NA,3.121739263,NA,2.162650645,1.443478294,3056.79541,1440.802123,Local,Chert,Local,Local,0,9,9,0.006246521,-2.20436183,yes,Artec.Spider
RB_599,RB,A2,Shatter,Shatter,Multidirectional,no,no,Flake,1,1,Flake,FALSE,NA,NA,NA,NA,31,33.59999847,15.19999981,NA,NA,NA,NA,NA,NA,NA,1-33%,Base,NA,NA,NA,2.03947371,NA,0.92261909,2.210526243,6804.045898,2486.629027,Local,Chert,Local,Local,0,5,5,0.002010754,-2.696640995,yes,Artec.Spider
RB_620,RB,A0,Carinated,Carinated,Carinated endscraper,yes,yes,Flake,1,1,Bladelet,FALSE,Ventral face,NA,Unidirectional,Convergent,15.2,20.5,22,16,20.5,NA,NA,Bladelet,9.1,3.5,0%,NA,Straight,NA,0.727272727,0.690909091,0.780487805,0.741463415,0.931818182,2346.773438,1096.469377,Circum-local.France,Chert,Circum.local,France,0,22,22,0.0200644,-1.697573826,yes,Artec.Spider
RB_621,RB,A0,Carinated,Carinated,Carinated endscraper,yes,yes,Flake,1,1,Bladelet,FALSE,Ventral face,NA,Unidirectional,Convergent,13.1,18.10000038,36.1,13,11.60000038,NA,NA,Bladelet,13,4,0%,NA,NA,NA,0.360110803,0.362880886,0.718232029,0.723756891,0.501385052,3289.254639,1501.963767,Distant.France,Chert,Distant,France,1,13,14,0.00932113,-2.03053142,yes,Artec.Spider
